Part,Link,Description,Quantity,Unit Price,Total Price
MX2A-51NB,https://www.digikey.com/en/products/detail/cherry-americas-llc/MX2A-51NB/21738393,Cherry MX switch to activate the chords,9,1.75,15.75
PTV09A-4020U-B103,https://www.digikey.com/en/products/detail/bourns-inc/PTV09A-4020U-B103/3781130,Linear potentiometer to modify each base chord,7,0.89,6.23
PTL45-15O0-105A2,https://www.digikey.com/en/products/detail/bourns-inc/PTL45-15O0-105A2/3781312,Slide potentiometer to invert the chord,1,2.57,2.57
DFR0847,https://www.digikey.com/en/products/detail/dfrobot/DFR0847/15848097,TFT Display for chord info,1,8.9,8.9
GPTS203211B,https://www.digikey.com/en/products/detail/cw-industries/GPTS203211B/3190590,Octave/ looping latching buttons,2,1.94,3.88
4960,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4960/14302512,Reverse Mount LED keyboard backlights,9,2.95,26.55
1N4148W-TP,https://www.digikey.com/en/products/detail/mcc-micro-commercial-components/1N4148W-TP/717196,Keyboard matrix diodes and more,10,0.063,0.63
SEEED XIAO ESP32-C3,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/113991054/16652880,MCU,1,4.99,4.99
CD74HC4067M96,https://www.digikey.com/en/products/detail/texas-instruments/CD74HC4067M96/1507236,Analog Multiplexer,1,0.89,0.89
RC0603FR-0710KL,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710KL/726880,10K Ohm Resistor 0603,10,0.025,0.25
1N5819W,https://www.digikey.com/en/products/detail/evvo/1N5819W/21407174,Schottky diodes,2,0.23,0.46
S201031MS02Q,https://www.digikey.com/en/products/detail/c-k/S201031MS02Q/2055169,Power,1,5.86,5.86
CR0603-FX-5100ELF,https://www.digikey.com/en/products/detail/bourns-inc/CR0603-FX-5100ELF/3784063,510 Ohm Resistor 0603,2,0.1,0.2
SMS-1804MS-HT,https://www.digikey.com/en/products/detail/pui-audio-inc/SMS-1804MS-HT/22116413,Speaker,2,4.86,9.72
MI0603L301R-10,https://www.digikey.com/en/products/detail/laird-signal-integrity-products/MI0603L301R-10/806613,Ferrite Beads,4,0.1,0.4
PAM8403DR-H,https://www.digikey.com/en/products/detail/diodes-incorporated/PAM8403DR-H/4033372,Class D Amp,1,0.8,0.8
PTV112-4420A-A103,https://www.digikey.com/en/products/detail/bourns-inc/PTV112-4420A-A103/3780862,Log potentiometer for volume,1,1.65,1.65
CL10B104KB8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNC/3886658,0.1 µF Capacitor 0603 ,10,0.027,0.27
C0603C221K1RACTU,https://www.digikey.com/en/products/detail/kemet/C0603C221K1RACTU/2200223,220 pF Capacitor 0603,4,0.1,0.4
CL10B474KO8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B474KO8NNNC/3886720,0.47 µF Capacitor 0603,2,0.1,0.2
CL10B105KO8NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B105KO8NNNC/3886677,1 µF Capacitor 0603,10,0.037,0.37
GRM21BZ71A226ME15L,https://www.digikey.com/en/products/detail/murata-electronics/GRM21BZ71A226ME15L/13904953,22 µF Capacitor 0805,1,0.33,0.33
